timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum
0:1:41_1/2/2023,auto,23,90,0,23.4,85,0,False,False,0.75,True
0:3:41_1/2/2023,auto,23,90,0,23.4,89,0,False,False,0.75,True
0:5:41_1/2/2023,auto,23,90,0,23.4,93,0,False,False,0.75,True
0:7:41_1/2/2023,auto,23,90,0,23.5,95,0,False,False,0.75,True
0:9:41_1/2/2023,auto,23,90,0,23.4,71,0,False,False,0.75,True
0:11:41_1/2/2023,auto,23,90,0,23.4,78,0,False,False,0.75,True
0:13:41_1/2/2023,auto,23,90,0,23.4,85,0,False,False,0.75,True
0:15:41_1/2/2023,auto,23,90,0,23.4,89,0,False,False,0.75,True
0:17:41_1/2/2023,auto,23,90,0,23.5,93,0,False,False,0.75,True
0:19:41_1/2/2023,auto,23,90,0,23.5,95,0,False,False,0.75,True
0:21:41_1/2/2023,auto,23,90,0,23.4,71,0,False,False,0.75,True
0:23:41_1/2/2023,auto,23,90,0,23.4,79,0,False,False,0.75,True
0:25:41_1/2/2023,auto,23,90,0,23.4,86,0,False,False,0.75,True
0:27:41_1/2/2023,auto,23,90,0,23.4,90,0,False,False,0.75,True
0:29:41_1/2/2023,auto,23,90,0,23.5,93,0,False,False,0.75,True
0:31:41_1/2/2023,auto,23,90,0,23.5,93,0,False,False,0.75,True
0:33:41_1/2/2023,auto,23,90,0,23.4,71,0,False,False,0.75,True
0:35:41_1/2/2023,auto,23,90,0,23.4,80,0,False,False,0.75,True
0:37:41_1/2/2023,auto,23,90,0,23.4,86,0,False,False,0.75,True
0:39:41_1/2/2023,auto,23,90,0,23.4,90,0,False,False,0.75,True
0:41:41_1/2/2023,auto,23,90,0,23.5,93,0,False,False,0.75,True
0:43:41_1/2/2023,auto,23,90,0,23.5,93,0,False,False,0.75,True
0:45:41_1/2/2023,auto,23,90,0,23.4,71,0,False,False,0.75,True
0:47:53_1/2/2023,auto,23,90,0,23.4,79,0,False,False,0.75,True
0:49:41_1/2/2023,auto,23,90,0,23.4,86,0,False,False,0.75,True
0:51:41_1/2/2023,auto,23,90,0,23.4,90,0,False,False,0.75,True
0:53:41_1/2/2023,auto,23,90,0,23.4,93,0,False,False,0.75,True
0:55:41_1/2/2023,auto,23,90,0,23.5,92,0,False,False,0.75,True
0:57:41_1/2/2023,auto,23,90,0,23.4,71,0,False,False,0.75,True
0:59:41_1/2/2023,auto,23,90,0,23.4,80,0,False,False,0.75,True
1:1:41_1/2/2023,auto,23,90,0,23.4,86,0,False,False,0.75,True
1:3:41_1/2/2023,auto,23,90,0,23.4,90,0,False,False,0.75,True
1:5:41_1/2/2023,auto,23,90,0,23.4,93,0,False,False,0.75,True
