timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum
14:12:44_4/4/2023,manual,30,70,4000,24.3,58,21,False,False,6.0,False
14:14:44_4/4/2023,manual,30,70,4000,24.4,59,154,False,False,6.0,False
14:16:44_4/4/2023,manual,30,70,4000,25.5,58,148,False,False,6.0,False
14:44:52_6/4/2023,manual,30,70,4000,26.0,54,0,False,True,17.0,False
14:46:52_6/4/2023,manual,30,70,4000,26.1,53,0,False,True,17.0,False
14:48:52_6/4/2023,manual,30,70,4000,26.2,53,0,False,True,17.0,False
11:52:50_18/4/2023,auto,30,70,4000,25.0,68,1857,False,False,25,False
11:56:59_18/4/2023,auto,30,70,4000,25.4,68,2003,False,False,25,False
12:11:14_18/4/2023,auto,30,70,4000,25.8,59,1717,False,False,25,False
12:23:16_18/4/2023,auto,30,70,4000,26.0,61,1850,False,False,25,False
12:25:16_18/4/2023,manual,30,70,4000,26.0,52,4936,False,True,25,False
12:27:16_18/4/2023,manual,30,70,4000,26.2,46,5162,False,True,25,False
12:29:16_18/4/2023,manual,30,70,4000,26.2,42,5155,False,True,25,False
12:31:16_18/4/2023,manual,30,70,4000,26.2,41,5029,False,True,25,False
12:33:16_18/4/2023,manual,30,70,4000,26.3,45,5016,False,True,25,False
12:35:16_18/4/2023,manual,30,70,4000,26.2,40,4936,False,True,25,False
12:37:16_18/4/2023,manual,30,70,4000,26.2,39,4896,False,True,25,False
12:39:16_18/4/2023,manual,30,70,4000,26.2,47,4963,False,True,25,False
12:41:16_18/4/2023,manual,30,70,4000,26.3,49,4889,False,True,25,False
12:43:16_18/4/2023,manual,30,70,4000,26.3,41,4863,False,True,25,False
12:45:16_18/4/2023,manual,30,70,4000,26.3,41,5062,False,True,25,False
12:47:16_18/4/2023,manual,30,70,4000,26.2,38,5009,False,True,25,False
12:49:16_18/4/2023,manual,30,70,4000,26.2,38,4963,False,True,25,False
12:51:16_18/4/2023,manual,30,70,4000,26.1,37,4836,False,True,25,False
12:53:16_18/4/2023,manual,30,70,4000,26.1,43,4816,False,True,25,False
12:55:16_18/4/2023,manual,30,70,4000,26.1,38,4949,False,True,25,False
12:57:16_18/4/2023,manual,30,70,4000,26.1,37,4923,False,True,25,False
12:59:16_18/4/2023,manual,30,70,4000,26.0,36,5089,False,True,25,False
13:1:16_18/4/2023,manual,30,70,4000,26.0,34,4876,False,True,25,False
13:3:16_18/4/2023,manual,30,70,4000,25.8,32,4943,False,True,25,False
13:5:16_18/4/2023,manual,30,70,4000,25.6,36,5049,False,True,25,False
13:7:16_18/4/2023,manual,30,70,4000,25.5,37,4896,False,True,25,False
13:9:16_18/4/2023,manual,30,70,4000,25.5,37,4863,False,True,25,False
13:11:16_18/4/2023,manual,30,70,4000,25.5,37,4730,False,True,25,False
13:13:16_18/4/2023,manual,30,70,4000,25.5,45,4863,False,True,25,False
13:15:16_18/4/2023,manual,30,70,4000,25.5,38,4963,False,True,25,False
13:17:16_18/4/2023,manual,30,70,4000,25.6,38,4803,False,True,25,False
13:19:16_18/4/2023,manual,30,70,4000,25.5,35,4923,False,True,25,False
13:21:21_18/4/2023,manual,30,70,4000,25.4,30,4876,False,True,25,False
13:23:16_18/4/2023,manual,30,70,4000,25.0,30,4836,False,True,25,False
13:25:16_18/4/2023,manual,30,70,4000,24.6,29,4870,False,True,25,False
13:27:16_18/4/2023,manual,30,70,4000,24.2,32,4810,False,True,25,False
13:29:16_18/4/2023,manual,30,70,4000,24.0,40,5076,False,True,25,False
13:31:16_18/4/2023,manual,30,70,4000,24.0,44,4830,False,True,25,False
13:33:16_18/4/2023,manual,30,70,4000,24.0,45,5089,False,True,25,False
13:35:16_18/4/2023,manual,30,70,4000,24.2,47,5049,False,True,25,False
13:37:16_18/4/2023,manual,30,70,4000,24.5,47,4830,False,True,25,False
13:39:16_18/4/2023,manual,30,70,4000,24.6,42,4870,False,True,25,False
13:41:16_18/4/2023,manual,30,70,4000,24.7,36,4783,False,True,25,False
13:43:16_18/4/2023,manual,30,70,4000,24.5,31,4916,False,True,25,False
13:45:16_18/4/2023,manual,30,70,4000,24.2,29,4843,False,True,25,False
13:47:16_18/4/2023,manual,30,70,4000,23.8,28,4836,False,True,25,False
13:49:16_18/4/2023,manual,30,70,4000,23.2,28,4889,False,True,25,False
13:51:16_18/4/2023,manual,30,70,4000,22.7,29,4889,False,True,25,False
13:53:16_18/4/2023,manual,30,70,4000,22.2,29,4823,False,True,25,False
13:55:16_18/4/2023,manual,30,70,4000,21.7,30,4743,False,True,25,False
13:57:16_18/4/2023,manual,30,70,4000,21.4,30,4909,False,True,25,False
13:59:16_18/4/2023,manual,30,70,4000,21.1,33,4750,False,True,25,False
14:1:16_18/4/2023,manual,30,70,4000,21.0,42,4816,False,True,25,False
14:3:16_18/4/2023,manual,30,70,4000,21.3,68,4690,False,True,25,False
14:5:16_18/4/2023,manual,30,70,4000,21.7,80,5009,False,True,25,False
14:7:16_18/4/2023,manual,30,70,4000,22.3,79,5209,False,True,25,False
14:9:16_18/4/2023,manual,30,70,4000,23.0,72,4823,False,True,25,False
14:11:16_18/4/2023,manual,30,70,4000,23.6,64,4151,False,True,25,False
14:13:16_18/4/2023,manual,30,70,4000,24.2,56,4976,False,True,25,False
14:15:16_18/4/2023,manual,30,70,4000,24.6,53,4850,False,True,25,False
14:17:16_18/4/2023,manual,30,70,4000,25.0,52,4803,False,True,25,False
14:19:16_18/4/2023,manual,30,70,4000,25.2,50,5003,False,True,25,False
14:21:21_18/4/2023,manual,30,70,4000,25.3,47,5787,False,True,25,False
14:23:16_18/4/2023,manual,30,70,4000,25.4,45,5714,False,True,25,False
14:25:16_18/4/2023,manual,30,70,4000,25.6,43,5794,False,True,25,False
14:27:16_18/4/2023,manual,30,70,4000,25.6,42,5721,False,True,25,False
14:29:16_18/4/2023,manual,30,70,4000,25.6,44,5708,False,True,25,False
14:31:16_18/4/2023,manual,30,70,4000,25.7,46,5841,False,True,25,False
