timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum
11:29:7_4/7/2023,manual,30,70,4000,25.0,72,108,True,False,0.5,False
11:31:7_4/7/2023,manual,30,70,4000,25.1,72,174,True,False,0.5,False
11:33:7_4/7/2023,manual,30,70,4000,25.3,72,0,True,False,0.5,False
11:35:7_4/7/2023,manual,30,70,4000,25.5,72,0,True,False,0.5,False
11:37:7_4/7/2023,manual,30,70,4000,25.8,71,0,True,False,0.5,False
11:39:7_4/7/2023,manual,30,70,4000,26.1,71,0,True,False,0.5,False
11:41:7_4/7/2023,manual,30,70,4000,26.4,70,0,True,False,0.5,False
11:43:7_4/7/2023,manual,30,70,4000,26.8,69,0,True,False,0.5,False
11:45:7_4/7/2023,manual,30,70,4000,27.2,68,0,True,False,0.5,False
11:47:7_4/7/2023,manual,30,70,4000,27.5,67,0,True,False,0.5,False
11:49:7_4/7/2023,manual,30,70,4000,27.9,66,0,True,False,0.5,False
11:51:7_4/7/2023,manual,30,70,4000,28.2,66,0,True,False,0.5,False
11:53:7_4/7/2023,manual,30,70,4000,28.5,65,0,True,False,0.5,False
11:55:7_4/7/2023,manual,30,70,4000,28.9,64,0,False,False,0.5,False
11:57:7_4/7/2023,manual,30,70,4000,29.2,63,0,False,False,0.5,False
11:59:7_4/7/2023,manual,30,70,4000,29.4,63,0,False,False,0.5,False
12:1:7_4/7/2023,manual,30,70,4000,29.5,63,0,False,False,0.5,True
12:3:7_4/7/2023,manual,30,70,4000,29.5,62,0,False,False,0.5,True
12:5:7_4/7/2023,manual,30,70,4000,29.7,62,0,False,False,0.5,True
12:7:7_4/7/2023,manual,30,70,4000,29.7,62,0,False,False,0.5,True
12:9:7_4/7/2023,manual,30,70,4000,29.9,62,0,False,False,0.5,True
12:11:7_4/7/2023,manual,30,70,4000,30.0,62,0,False,False,0.5,True
12:13:7_4/7/2023,manual,30,70,4000,30.0,62,0,False,False,0.5,True
12:15:7_4/7/2023,manual,30,70,4000,30.1,61,0,False,False,0.5,True
12:17:7_4/7/2023,manual,30,70,4000,30.3,61,0,False,False,0.5,False
12:19:7_4/7/2023,manual,30,70,4000,30.1,56,48,False,False,0.5,False
12:21:7_4/7/2023,manual,30,70,4000,30.0,59,0,False,False,0.5,False
12:23:7_4/7/2023,manual,30,70,4000,30.0,61,0,False,False,0.5,False
12:25:7_4/7/2023,manual,30,70,4000,30.2,62,0,False,True,0.5,False
