timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum,cpuTemp
16:9:18_3/8/2023,auto,27,70,4000,26.7,95,3784,False,False,0,True,35.54
16:10:37_3/8/2023,auto,27,70,4000,26.8,97,4024,False,False,0,True,37.00
16:12:39_3/8/2023,auto,27,70,4000,27.0,95,3808,False,False,0,True,37.48
16:14:37_3/8/2023,auto,27,70,4000,27.0,64,3760,False,False,0,True,37.48
16:16:37_3/8/2023,auto,27,70,4000,26.9,66,4288,False,False,0,True,37.00
16:18:37_3/8/2023,auto,27,70,4000,26.7,77,3784,False,False,0,True,37.97
16:20:37_3/8/2023,auto,27,70,4000,26.7,87,3800,False,False,0,True,37.97
16:22:37_3/8/2023,auto,27,70,4000,26.7,93,3800,False,False,0,True,38.46
16:24:37_3/8/2023,auto,27,70,4000,26.8,96,3808,False,False,0,True,37.97
16:26:37_3/8/2023,auto,27,70,4000,27.0,97,3936,False,False,0,True,38.46
16:28:37_3/8/2023,auto,27,70,4000,27.0,67,3784,False,False,0,True,37.97
16:30:37_3/8/2023,auto,27,70,4000,26.9,62,3768,False,False,0,True,37.48
16:32:37_3/8/2023,auto,27,70,4000,26.8,74,3768,False,False,0,True,37.00
16:34:37_3/8/2023,auto,27,70,4000,26.7,85,3992,False,False,0,True,38.46
16:36:37_3/8/2023,auto,27,70,4000,26.7,92,3768,False,False,0,True,38.46
16:38:37_3/8/2023,auto,27,70,4000,26.8,96,3800,False,False,0,True,37.97
16:40:37_3/8/2023,auto,27,70,4000,26.9,97,4160,False,False,0,True,38.46
16:42:37_3/8/2023,auto,27,70,4000,27.0,68,3800,False,False,0,True,38.46
16:44:37_3/8/2023,auto,27,70,4000,26.9,62,3696,False,False,0,True,37.48
16:46:37_3/8/2023,auto,27,70,4000,26.8,74,4224,False,False,0,True,39.92
16:48:37_3/8/2023,auto,27,70,4000,26.7,85,3704,False,False,0,True,37.00
16:50:37_3/8/2023,auto,27,70,4000,26.7,92,3808,False,False,0,True,37.48
16:52:37_3/8/2023,auto,27,70,4000,26.9,96,3800,False,False,0,True,37.00
16:54:37_3/8/2023,auto,27,70,4000,27.0,94,3968,False,False,0,True,37.48
16:56:37_3/8/2023,auto,27,70,4000,27.0,63,4176,False,False,0,True,37.00
16:58:37_3/8/2023,auto,27,70,4000,26.9,66,3776,False,False,0,True,37.48
17:0:37_3/8/2023,auto,27,70,4000,26.8,78,3984,False,False,0,True,38.95
17:2:37_3/8/2023,auto,27,70,4000,26.7,88,3768,False,False,0,True,38.46
17:4:37_3/8/2023,auto,27,70,4000,26.8,94,3976,False,False,0,True,38.46
17:6:37_3/8/2023,auto,27,70,4000,26.9,96,3944,False,False,0,True,37.97
17:8:37_3/8/2023,auto,27,70,4000,27.0,76,3792,False,False,0,True,37.97
17:10:37_3/8/2023,auto,27,70,4000,27.0,59,3664,False,False,0,True,38.95
17:12:39_3/8/2023,auto,27,70,4000,26.9,71,3776,False,False,0,True,37.48
17:14:37_3/8/2023,auto,27,70,4000,26.8,82,3696,False,False,0,True,37.97
17:16:37_3/8/2023,auto,27,70,4000,26.8,91,3840,False,False,0,True,37.97
17:18:37_3/8/2023,auto,27,70,4000,26.9,95,3752,False,False,0,True,37.00
17:20:37_3/8/2023,auto,27,70,4000,27.0,93,3864,False,False,0,True,37.97
17:22:37_3/8/2023,auto,27,70,4000,26.9,63,4016,False,False,0,True,37.48
17:24:37_3/8/2023,auto,27,70,4000,26.9,66,3776,False,False,0,True,38.46
17:26:37_3/8/2023,auto,27,70,4000,26.8,78,3768,False,False,0,True,38.95
17:28:37_3/8/2023,auto,27,70,4000,26.7,88,3792,False,False,0,True,37.97
17:30:37_3/8/2023,auto,27,70,4000,26.8,94,3784,False,False,0,True,38.46
17:32:37_3/8/2023,auto,27,70,4000,26.8,77,4152,False,False,0,True,38.46
17:34:37_3/8/2023,auto,27,70,4000,26.8,60,3768,False,False,0,True,38.95
17:36:37_3/8/2023,auto,27,70,4000,26.7,70,3696,False,False,0,True,38.46
17:38:37_3/8/2023,auto,27,70,4000,26.6,82,3768,False,False,0,True,39.43
17:40:37_3/8/2023,auto,27,70,4000,26.6,91,3768,False,False,0,True,37.48
17:42:37_3/8/2023,auto,27,70,4000,26.7,95,3904,False,False,0,True,37.97
17:44:37_3/8/2023,auto,27,70,4000,26.9,97,3784,False,False,0,True,37.97
17:46:37_3/8/2023,auto,27,70,4000,27.0,83,3800,False,False,0,True,38.46
17:48:37_3/8/2023,auto,27,70,4000,27.0,61,3768,False,False,0,True,38.46
17:50:37_3/8/2023,auto,27,70,4000,26.9,69,4080,False,False,0,True,38.95
17:52:37_3/8/2023,auto,27,70,4000,26.9,80,3784,False,False,0,True,38.95
17:54:37_3/8/2023,auto,27,70,4000,26.8,90,4016,False,False,0,True,38.46
17:56:37_3/8/2023,auto,27,70,4000,26.9,95,3968,False,False,0,True,38.46
17:58:37_3/8/2023,auto,27,70,4000,27.0,84,3872,False,False,0,True,38.46
18:0:37_3/8/2023,auto,23,90,0,26.9,64,0,False,False,0,True,38.46
18:2:37_3/8/2023,auto,23,90,0,26.8,74,0,False,False,0,True,38.95
18:4:37_3/8/2023,auto,23,90,0,26.7,84,0,False,False,0,True,37.97
18:6:37_3/8/2023,auto,23,90,0,26.5,91,0,False,False,0,True,38.95
18:8:37_3/8/2023,auto,23,90,0,26.5,95,0,False,False,0,True,38.95
18:10:37_3/8/2023,auto,23,90,0,26.4,97,0,False,False,0,True,38.95
18:12:39_3/8/2023,auto,23,90,0,26.4,99,0,False,False,0,True,38.46
