timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum
11:30:27_22/6/2023,manual,30,70,4000,23.8,63,5022,False,True,25,False
11:32:27_22/6/2023,manual,30,70,4000,23.9,68,4976,False,True,25,False
11:34:27_22/6/2023,auto,20,70,4000,23.9,63,2043,False,False,25,False
11:36:27_22/6/2023,auto,20,70,4000,23.8,53,1976,False,False,25,False
11:38:27_22/6/2023,auto,20,70,4000,23.6,49,2063,False,False,25,False
11:40:27_22/6/2023,auto,20,70,4000,23.3,46,1870,False,False,25,False
11:42:27_22/6/2023,auto,20,70,4000,22.9,45,1810,False,False,25,False
11:44:27_22/6/2023,auto,20,70,4000,22.5,44,1777,False,False,25,False
11:46:27_22/6/2023,auto,20,70,4000,22.1,44,1797,False,False,25,False
11:48:27_22/6/2023,auto,20,70,4000,21.7,47,2023,False,False,25,False
11:50:27_22/6/2023,auto,20,70,4000,21.4,58,1770,False,False,25,False
11:52:27_22/6/2023,auto,20,70,4000,21.3,69,1797,False,False,25,False
11:54:27_22/6/2023,auto,20,70,4000,21.3,75,1810,False,False,25,False
11:56:27_22/6/2023,auto,20,70,4000,21.4,66,2010,False,False,25,False
11:58:27_22/6/2023,auto,20,70,4000,21.5,72,1817,False,False,25,False
12:0:27_22/6/2023,auto,20,70,4000,21.7,72,1810,False,False,25,False
12:2:27_22/6/2023,auto,20,70,4000,21.8,70,1797,False,False,25,False
12:4:27_22/6/2023,auto,20,70,4000,21.9,75,1824,False,False,25,False
12:6:27_22/6/2023,auto,27,70,4000,22.0,62,1770,False,False,25,False
12:8:27_22/6/2023,auto,27,70,4000,22.1,66,1797,False,False,25,False
12:10:27_22/6/2023,auto,27,70,4000,22.2,73,1810,False,False,25,False
12:12:27_22/6/2023,auto,27,70,4000,22.3,72,1797,False,False,25,False
12:14:27_22/6/2023,auto,27,70,4000,22.5,74,7603,False,False,25,False
12:16:27_22/6/2023,manual,27,70,4000,22.6,69,1843,False,False,25,False
12:18:27_22/6/2023,manual,27,70,4000,22.8,72,4856,False,False,25,False
12:20:27_22/6/2023,manual,27,70,4000,23.2,74,4903,False,False,25,False
12:22:27_22/6/2023,manual,27,70,4000,23.6,73,4929,False,True,25,False
12:24:27_22/6/2023,manual,27,70,4000,24.1,61,4896,False,True,25,False
12:26:27_22/6/2023,manual,27,70,4000,24.4,56,4969,False,True,25,False
12:28:29_22/6/2023,manual,27,70,4000,24.5,52,4883,False,True,25,False
12:30:27_22/6/2023,manual,27,70,4000,24.5,50,5009,False,True,25,False
12:32:27_22/6/2023,manual,27,70,4000,24.4,49,4856,False,True,25,False
12:34:27_22/6/2023,manual,27,70,4000,24.3,47,4989,False,True,25,False
12:36:27_22/6/2023,manual,27,70,4000,24.0,47,4816,False,True,25,False
12:38:27_22/6/2023,manual,27,70,4000,23.9,47,4810,False,True,25,False
12:40:27_22/6/2023,manual,27,70,4000,23.7,47,4989,False,True,25,False
