timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum
1:18:33_8/11/2022,auto,0,0,0,,,,False,False,0,False
10:34:3_8/11/2022,auto,30,70,4000,,,,False,False,0,False
10:36:3_8/11/2022,auto,30,70,4000,,,,False,False,0,False
10:40:41_8/11/2022,auto,30,70,4000,,,,False,False,0,False
10:42:41_8/11/2022,auto,30,70,4000,,,,False,False,0,False
10:44:41_8/11/2022,auto,30,70,4000,,,,False,False,0,False
10:46:41_8/11/2022,auto,30,70,4000,,,,False,False,0,False
17:48:41_8/11/2022,auto,30,70,4000,,,,False,False,0,False
13:4:51_16/11/2022,auto,30,70,4000,,,,False,False,0,False
13:6:51_16/11/2022,auto,30,70,4000,,,,False,False,0,False
13:8:51_16/11/2022,auto,30,70,4000,,,,False,False,0,False
15:37:37_16/11/2022,auto,30,70,4000,,,,False,False,25,False
