timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum
2:25:14_1/3/2023,auto,23,90,0,31.3,76,0,False,False,25,False
2:27:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:29:14_1/3/2023,auto,23,90,0,31.3,76,0,False,False,25,False
2:31:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:33:14_1/3/2023,auto,23,90,0,31.3,76,0,False,False,25,False
2:35:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:37:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:39:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:41:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:43:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:45:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:47:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:49:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:51:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:53:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:55:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:57:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
2:59:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
3:1:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
3:3:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
3:5:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
3:7:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
3:9:14_1/3/2023,auto,23,90,0,31.2,76,0,False,False,25,False
3:11:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:13:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:15:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:17:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:19:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:21:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:23:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:25:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:27:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:29:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:31:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:33:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:35:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:37:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:39:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:41:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:43:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:45:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:47:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:49:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:51:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:53:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:55:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
3:57:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
