timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum
0:1:13_1/1/2023,auto,23,90,0,24.8,43,0,False,False,25,False
0:3:13_1/1/2023,auto,23,90,0,24.5,54,0,False,False,25,False
0:5:15_1/1/2023,auto,23,90,0,24.2,63,0,False,False,25,False
0:7:13_1/1/2023,auto,23,90,0,24.0,70,0,False,False,25,False
0:9:13_1/1/2023,auto,23,90,0,23.8,75,0,False,False,25,False
0:11:13_1/1/2023,auto,23,90,0,23.6,78,0,False,False,25,False
0:13:13_1/1/2023,auto,23,90,0,23.6,80,0,False,False,25,False
0:15:13_1/1/2023,auto,23,90,0,23.6,81,0,False,False,25,False
0:17:13_1/1/2023,auto,23,90,0,23.6,81,0,False,False,25,False
0:19:13_1/1/2023,auto,23,90,0,23.6,82,0,False,False,25,False
0:21:13_1/1/2023,auto,23,90,0,23.8,82,0,False,False,25,False
0:23:13_1/1/2023,auto,23,90,0,23.9,82,0,False,False,25,False
0:25:13_1/1/2023,auto,23,90,0,24.0,82,0,False,False,25,False
0:27:13_1/1/2023,auto,23,90,0,24.1,82,0,False,False,25,False
0:29:13_1/1/2023,auto,23,90,0,24.2,82,0,False,False,25,False
0:31:13_1/1/2023,auto,23,90,0,24.4,82,0,False,False,25,False
0:33:13_1/1/2023,auto,23,90,0,24.5,82,0,False,False,25,False
0:35:13_1/1/2023,auto,23,90,0,24.7,81,0,False,False,25,False
0:37:13_1/1/2023,auto,23,90,0,24.8,81,0,False,False,25,False
0:39:13_1/1/2023,auto,23,90,0,25.0,79,0,False,False,25,False
0:41:13_1/1/2023,auto,23,90,0,25.0,51,0,False,False,25,False
0:43:13_1/1/2023,auto,23,90,0,24.8,41,0,False,False,25,False
0:45:13_1/1/2023,auto,23,90,0,24.5,52,0,False,False,25,False
0:47:13_1/1/2023,auto,23,90,0,24.3,62,0,False,False,25,False
0:49:13_1/1/2023,auto,23,90,0,24.0,69,0,False,False,25,False
0:51:13_1/1/2023,auto,23,90,0,23.8,74,0,False,False,25,False
0:53:13_1/1/2023,auto,23,90,0,23.6,77,0,False,False,25,False
0:55:13_1/1/2023,auto,23,90,0,23.6,79,0,False,False,25,False
0:57:13_1/1/2023,auto,23,90,0,23.6,80,0,False,False,25,False
0:59:13_1/1/2023,auto,23,90,0,23.6,81,0,False,False,25,False
1:1:13_1/1/2023,auto,23,90,0,23.6,81,0,False,False,25,False
1:3:13_1/1/2023,auto,23,90,0,23.8,82,0,False,False,25,False
1:5:15_1/1/2023,auto,23,90,0,23.8,82,0,False,False,25,False
1:7:13_1/1/2023,auto,23,90,0,24.0,82,0,False,False,25,False
1:9:13_1/1/2023,auto,23,90,0,24.1,82,0,False,False,25,False
1:11:13_1/1/2023,auto,23,90,0,24.2,82,0,False,False,25,False
1:13:13_1/1/2023,auto,23,90,0,24.4,82,0,False,False,25,False
1:15:13_1/1/2023,auto,23,90,0,24.5,81,0,False,False,25,False
1:17:13_1/1/2023,auto,23,90,0,24.6,81,0,False,False,25,False
1:19:13_1/1/2023,auto,23,90,0,24.8,81,0,False,False,25,False
1:21:13_1/1/2023,auto,23,90,0,25.0,81,0,False,False,25,False
1:23:13_1/1/2023,auto,23,90,0,25.0,57,0,False,False,25,False
1:25:13_1/1/2023,auto,23,90,0,24.8,40,0,False,False,25,False
1:27:13_1/1/2023,auto,23,90,0,24.6,48,0,False,False,25,False
1:29:13_1/1/2023,auto,23,90,0,24.4,59,0,False,False,25,False
1:31:13_1/1/2023,auto,23,90,0,24.0,67,0,False,False,25,False
1:33:13_1/1/2023,auto,23,90,0,23.8,72,0,False,False,25,False
1:35:13_1/1/2023,auto,23,90,0,23.6,76,0,False,False,25,False
1:37:13_1/1/2023,auto,23,90,0,23.6,79,0,False,False,25,False
1:39:13_1/1/2023,auto,23,90,0,23.5,80,0,False,False,25,False
1:41:13_1/1/2023,auto,23,90,0,23.5,81,0,False,False,25,False
1:43:13_1/1/2023,auto,23,90,0,23.6,81,0,False,False,25,False
1:45:13_1/1/2023,auto,23,90,0,23.6,82,0,False,False,25,False
1:47:13_1/1/2023,auto,23,90,0,23.8,82,0,False,False,25,False
1:49:13_1/1/2023,auto,23,90,0,23.9,82,0,False,False,25,False
1:51:13_1/1/2023,auto,23,90,0,24.0,82,0,False,False,25,False
1:53:13_1/1/2023,auto,23,90,0,24.1,82,0,False,False,25,False
1:55:13_1/1/2023,auto,23,90,0,24.2,82,0,False,False,25,False
1:57:13_1/1/2023,auto,23,90,0,24.4,82,0,False,False,25,False
1:59:13_1/1/2023,auto,23,90,0,24.5,81,0,False,False,25,False
2:1:13_1/1/2023,auto,23,90,0,24.7,81,0,False,False,25,False
2:3:13_1/1/2023,auto,23,90,0,24.8,81,0,False,False,25,False
2:5:15_1/1/2023,auto,23,90,0,25.0,76,0,False,False,25,False
2:7:13_1/1/2023,auto,23,90,0,25.0,50,0,False,False,25,False
2:9:13_1/1/2023,auto,23,90,0,24.8,42,0,False,False,25,False
2:11:13_1/1/2023,auto,23,90,0,24.5,52,0,False,False,25,False
2:13:13_1/1/2023,auto,23,90,0,24.2,62,0,False,False,25,False
2:15:13_1/1/2023,auto,23,90,0,24.0,69,0,False,False,25,False
2:17:13_1/1/2023,auto,23,90,0,23.8,74,0,False,False,25,False
2:19:13_1/1/2023,auto,23,90,0,23.6,77,0,False,False,25,False
2:21:13_1/1/2023,auto,23,90,0,23.6,79,0,False,False,25,False
2:23:13_1/1/2023,auto,23,90,0,23.6,80,0,False,False,25,False
2:25:13_1/1/2023,auto,23,90,0,23.6,81,0,False,False,25,False
2:27:13_1/1/2023,auto,23,90,0,23.6,81,0,False,False,25,False
2:29:13_1/1/2023,auto,23,90,0,23.7,82,0,False,False,25,False
2:31:13_1/1/2023,auto,23,90,0,23.8,82,0,False,False,25,False
2:33:13_1/1/2023,auto,23,90,0,24.0,82,0,False,False,25,False
2:35:13_1/1/2023,auto,23,90,0,24.1,82,0,False,False,25,False
2:37:13_1/1/2023,auto,23,90,0,24.2,82,0,False,False,25,False
2:39:13_1/1/2023,auto,23,90,0,24.4,82,0,False,False,25,False
2:41:13_1/1/2023,auto,23,90,0,24.5,81,0,False,False,25,False
2:43:13_1/1/2023,auto,23,90,0,24.6,81,0,False,False,25,False
2:45:13_1/1/2023,auto,23,90,0,24.8,81,0,False,False,25,False
2:47:13_1/1/2023,auto,23,90,0,24.9,81,0,False,False,25,False
2:49:13_1/1/2023,auto,23,90,0,25.0,59,0,False,False,25,False
2:51:13_1/1/2023,auto,23,90,0,24.8,40,0,False,False,25,False
2:53:13_1/1/2023,auto,23,90,0,24.6,48,0,False,False,25,False
2:55:13_1/1/2023,auto,23,90,0,24.4,59,0,False,False,25,False
2:57:13_1/1/2023,auto,23,90,0,24.1,67,0,False,False,25,False
2:59:13_1/1/2023,auto,23,90,0,23.9,73,0,False,False,25,False
3:1:13_1/1/2023,auto,23,90,0,23.7,77,0,False,False,25,False
3:3:13_1/1/2023,auto,23,90,0,23.6,79,0,False,False,25,False
3:5:15_1/1/2023,auto,23,90,0,23.6,80,0,False,False,25,False
3:7:13_1/1/2023,auto,23,90,0,23.6,81,0,False,False,25,False
3:9:13_1/1/2023,auto,23,90,0,23.6,81,0,False,False,25,False
3:11:13_1/1/2023,auto,23,90,0,23.7,82,0,False,False,25,False
3:13:13_1/1/2023,auto,23,90,0,23.8,82,0,False,False,25,False
3:15:13_1/1/2023,auto,23,90,0,23.9,82,0,False,False,25,False
3:17:13_1/1/2023,auto,23,90,0,24.0,82,0,False,False,25,False
