timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum
14:37:14_27/12/2022,manual,30,70,4000,25.3,86,4025,False,False,3.5,False
14:39:15_27/12/2022,manual,30,70,4000,25.7,76,2030,False,False,1.25,False
14:41:14_27/12/2022,manual,30,70,4000,25.8,73,1757,False,False,1.25,False
14:43:14_27/12/2022,manual,30,70,4000,25.7,72,1710,False,False,1.25,False
14:53:52_27/12/2022,manual,30,70,4000,26.2,79,5009,False,False,4.0,False
14:55:52_27/12/2022,manual,30,70,4000,26.6,71,646,False,True,0.5,False
15:2:37_27/12/2022,auto,30,70,4000,27.3,68,32277,False,False,25,False
15:4:37_27/12/2022,auto,30,70,4000,28.8,66,31891,False,False,25,False
15:7:52_27/12/2022,auto,30,70,4000,31.1,62,32264,False,False,25,False
15:9:52_27/12/2022,auto,30,70,4000,32.5,59,32064,False,False,25,False
15:11:52_27/12/2022,auto,30,70,4000,33.7,57,32157,False,False,25,False
15:13:52_27/12/2022,auto,30,70,4000,34.9,55,32530,False,False,25,False
15:15:52_27/12/2022,auto,30,70,4000,36.0,54,32862,False,False,25,False
15:17:52_27/12/2022,auto,30,70,4000,37.0,52,32742,False,False,25,False
15:19:52_27/12/2022,auto,30,70,4000,38.1,51,32443,False,False,25,False
15:21:52_27/12/2022,auto,30,70,4000,39.0,50,32616,False,False,25,False
15:23:52_27/12/2022,auto,30,70,4000,40.0,48,32889,False,False,25,False
15:25:52_27/12/2022,auto,30,70,4000,40.8,47,32729,False,False,25,False
15:27:52_27/12/2022,auto,30,70,4000,41.7,46,32862,False,False,25,False
15:29:52_27/12/2022,auto,30,70,4000,42.6,45,32636,False,False,25,False
15:31:52_27/12/2022,auto,30,70,4000,43.4,44,33068,False,False,25,False
15:33:52_27/12/2022,auto,30,70,4000,44.3,43,33394,False,False,25,False
15:35:52_27/12/2022,auto,30,70,4000,45.1,42,33314,False,False,25,False
15:37:52_27/12/2022,auto,30,70,4000,45.9,41,33308,False,False,25,False
15:39:52_27/12/2022,auto,30,70,4000,46.6,40,33534,False,False,25,False
15:41:52_27/12/2022,auto,30,70,4000,47.5,40,33175,False,False,25,False
15:43:52_27/12/2022,auto,30,70,4000,48.2,39,33321,False,False,25,False
15:45:52_27/12/2022,auto,30,70,4000,48.9,38,33547,False,False,25,False
15:47:52_27/12/2022,auto,30,70,4000,49.6,37,33361,False,False,25,False
15:49:52_27/12/2022,auto,30,70,4000,50.3,37,33381,False,False,25,False
15:51:52_27/12/2022,auto,30,70,4000,51.0,36,33022,False,False,25,False
15:53:52_27/12/2022,auto,30,70,4000,51.6,36,33341,False,False,25,False
15:55:52_27/12/2022,auto,30,70,4000,52.3,35,34239,False,False,25,False
15:57:52_27/12/2022,auto,30,70,4000,52.9,34,33906,False,False,25,False
15:59:52_27/12/2022,auto,30,70,4000,53.5,34,33893,False,False,25,False
16:1:52_27/12/2022,auto,30,70,4000,54.1,34,33993,False,False,25,False
16:3:52_27/12/2022,auto,30,70,4000,54.7,33,33953,False,False,25,False
16:5:52_27/12/2022,auto,30,70,4000,55.3,33,33973,False,False,25,False
16:7:52_27/12/2022,auto,30,70,4000,56.0,32,34079,False,False,25,False
16:9:52_27/12/2022,auto,30,70,4000,56.6,31,34059,False,False,25,False
16:11:52_27/12/2022,auto,30,70,4000,57.1,31,34046,False,False,25,False
16:13:52_27/12/2022,auto,30,70,4000,57.7,31,34099,False,False,25,False
16:15:52_27/12/2022,auto,30,70,4000,58.2,30,34046,False,False,25,False
16:17:52_27/12/2022,auto,30,70,4000,58.7,30,34119,False,False,25,False
16:19:52_27/12/2022,auto,30,70,4000,59.3,30,34019,False,False,25,False
16:21:52_27/12/2022,auto,30,70,4000,59.7,29,33966,False,False,25,False
16:23:52_27/12/2022,auto,30,70,4000,60.3,29,33880,False,False,25,False
16:25:52_27/12/2022,auto,30,70,4000,60.8,29,33787,False,False,25,False
16:27:52_27/12/2022,auto,30,70,4000,61.1,28,33979,False,False,25,False
16:29:52_27/12/2022,auto,30,70,4000,61.7,28,34246,False,False,25,False
16:31:52_27/12/2022,auto,30,70,4000,62.1,28,34112,False,False,25,False
16:33:52_27/12/2022,auto,30,70,4000,62.5,27,34325,False,False,25,False
16:35:52_27/12/2022,auto,30,70,4000,63.1,27,34252,False,False,25,False
16:37:52_27/12/2022,auto,30,70,4000,63.5,27,34166,False,False,25,False
16:39:52_27/12/2022,auto,30,70,4000,63.9,27,34472,False,False,25,False
16:41:52_27/12/2022,auto,30,70,4000,64.3,26,34219,False,False,25,False
16:43:52_27/12/2022,auto,30,70,4000,64.7,26,34272,False,False,25,False
16:48:27_27/12/2022,manual,30,70,4000,63.3,28,8328,False,True,25,False
16:50:27_27/12/2022,manual,30,70,4000,62.7,29,8228,False,True,25,False
16:52:27_27/12/2022,manual,30,70,4000,62.2,30,8554,False,True,25,False
16:58:27_27/12/2022,auto,30,70,4000,61.0,32,3107,False,False,25,False
17:2:44_27/12/2022,auto,30,70,4000,59.8,34,3107,False,False,25,False
17:4:44_27/12/2022,auto,30,70,4000,59.4,35,3140,False,False,25,False
17:6:44_27/12/2022,auto,30,70,4000,59.0,36,3107,False,False,25,False
17:8:44_27/12/2022,auto,30,70,4000,58.6,37,3433,False,False,25,False
17:10:44_27/12/2022,auto,30,70,4000,58.2,38,3127,False,False,25,False
17:12:44_27/12/2022,auto,30,70,4000,57.9,38,3154,False,False,25,False
17:14:44_27/12/2022,auto,30,70,4000,57.6,39,3114,False,False,25,False
17:16:44_27/12/2022,auto,30,70,4000,57.3,40,3214,False,False,25,False
17:18:44_27/12/2022,auto,30,70,4000,57.0,40,3140,False,False,25,False
17:20:44_27/12/2022,auto,30,70,4000,56.7,41,3120,False,False,25,False
17:22:44_27/12/2022,auto,30,70,4000,56.5,42,3140,False,False,25,False
17:24:44_27/12/2022,auto,30,70,4000,56.2,42,3094,False,False,25,False
17:26:44_27/12/2022,auto,30,70,4000,56.0,43,3499,False,False,25,False
17:28:44_27/12/2022,auto,30,70,4000,55.7,44,3200,False,False,25,False
17:30:44_27/12/2022,auto,30,70,4000,55.5,44,3247,False,False,25,False
17:32:44_27/12/2022,auto,30,70,4000,55.3,45,3120,False,False,25,False
17:34:44_27/12/2022,auto,30,70,4000,55.0,45,3433,False,False,25,False
17:36:44_27/12/2022,auto,30,70,4000,54.9,46,3127,False,False,25,False
17:38:44_27/12/2022,auto,30,70,4000,54.7,46,3054,False,False,25,False
17:40:44_27/12/2022,auto,30,70,4000,54.4,47,3267,False,False,25,False
17:42:44_27/12/2022,auto,30,70,4000,54.3,47,3067,False,False,25,False
17:44:44_27/12/2022,auto,30,70,4000,54.1,48,3067,False,False,25,False
17:46:44_27/12/2022,auto,30,70,4000,53.9,48,3087,False,False,25,False
17:48:44_27/12/2022,auto,30,70,4000,53.7,49,3413,False,False,25,False
17:50:44_27/12/2022,auto,30,70,4000,53.5,49,3100,False,False,25,False
17:52:44_27/12/2022,auto,30,70,4000,53.3,49,3426,False,False,25,False
17:54:44_27/12/2022,auto,30,70,4000,53.2,50,3100,False,False,25,False
17:56:44_27/12/2022,auto,30,70,4000,53.1,50,3313,False,False,25,False
17:58:44_27/12/2022,auto,30,70,4000,52.9,51,3214,False,False,25,False
18:0:45_27/12/2022,auto,23,90,0,52.8,51,0,False,False,25,False
18:2:44_27/12/2022,auto,23,90,0,52.5,51,0,False,False,25,False
18:4:44_27/12/2022,auto,23,90,0,52.3,52,0,False,False,25,False
18:6:44_27/12/2022,auto,23,90,0,52.0,52,0,False,False,25,False
18:8:44_27/12/2022,auto,23,90,0,51.6,53,0,False,False,25,False
18:10:44_27/12/2022,auto,23,90,0,51.4,54,0,False,False,25,False
18:12:44_27/12/2022,auto,23,90,0,51.0,54,0,False,False,25,False
18:14:44_27/12/2022,auto,23,90,0,50.6,55,0,False,False,25,False
18:16:44_27/12/2022,auto,23,90,0,50.4,56,0,False,False,25,False
18:18:44_27/12/2022,auto,23,90,0,50.0,56,0,False,False,25,False
18:20:44_27/12/2022,auto,23,90,0,49.7,57,0,False,False,25,False
18:22:44_27/12/2022,auto,23,90,0,49.5,57,0,False,False,25,False
18:24:44_27/12/2022,auto,23,90,0,49.2,58,0,False,False,25,False
18:26:44_27/12/2022,auto,23,90,0,49.0,58,0,False,False,25,False
18:28:44_27/12/2022,auto,23,90,0,48.7,59,0,False,False,25,False
18:30:44_27/12/2022,auto,23,90,0,48.5,59,0,False,False,25,False
18:32:44_27/12/2022,auto,23,90,0,48.2,60,0,False,False,25,False
18:34:44_27/12/2022,auto,23,90,0,48.0,60,0,False,False,25,False
18:36:44_27/12/2022,auto,23,90,0,47.7,60,0,False,False,25,False
18:38:44_27/12/2022,auto,23,90,0,47.5,61,0,False,False,25,False
18:40:44_27/12/2022,auto,23,90,0,47.3,61,0,False,False,25,False
18:42:44_27/12/2022,auto,23,90,0,47.1,62,0,False,False,25,False
18:44:44_27/12/2022,auto,23,90,0,46.9,62,0,False,False,25,False
18:46:44_27/12/2022,auto,23,90,0,46.7,62,0,False,False,25,False
18:48:44_27/12/2022,auto,23,90,0,46.5,63,0,False,False,25,False
18:50:44_27/12/2022,auto,23,90,0,46.3,63,0,False,False,25,False
18:52:44_27/12/2022,auto,23,90,0,46.1,63,0,False,False,25,False
18:54:44_27/12/2022,auto,23,90,0,45.9,63,0,False,False,25,False
18:56:44_27/12/2022,auto,23,90,0,45.7,64,0,False,False,25,False
18:58:44_27/12/2022,auto,23,90,0,45.5,64,0,False,False,25,False
19:0:45_27/12/2022,auto,23,90,0,45.3,64,0,False,False,25,False
19:2:44_27/12/2022,auto,23,90,0,45.1,65,0,False,False,25,False
19:4:44_27/12/2022,auto,23,90,0,45.0,65,0,False,False,25,False
19:6:44_27/12/2022,auto,23,90,0,44.8,65,0,False,False,25,False
19:8:44_27/12/2022,auto,23,90,0,44.6,65,0,False,False,25,False
19:10:44_27/12/2022,auto,23,90,0,44.5,65,0,False,False,25,False
19:12:44_27/12/2022,auto,23,90,0,44.3,66,0,False,False,25,False
19:14:44_27/12/2022,auto,23,90,0,44.1,66,0,False,False,25,False
19:16:44_27/12/2022,auto,23,90,0,44.0,66,0,False,False,25,False
19:18:44_27/12/2022,auto,23,90,0,43.8,66,0,False,False,25,False
19:20:44_27/12/2022,auto,23,90,0,43.7,66,0,False,False,25,False
19:22:44_27/12/2022,auto,23,90,0,43.5,67,0,False,False,25,False
19:24:44_27/12/2022,auto,23,90,0,43.4,67,0,False,False,25,False
19:26:44_27/12/2022,auto,23,90,0,43.2,67,0,False,False,25,False
19:28:44_27/12/2022,auto,23,90,0,43.1,67,0,False,False,25,False
19:30:44_27/12/2022,auto,23,90,0,43.0,67,0,False,False,25,False
19:32:44_27/12/2022,auto,23,90,0,42.8,68,0,False,False,25,False
19:34:44_27/12/2022,auto,23,90,0,42.7,68,0,False,False,25,False
19:36:44_27/12/2022,auto,23,90,0,42.5,68,0,False,False,25,False
19:38:44_27/12/2022,auto,23,90,0,42.5,68,0,False,False,25,False
19:40:44_27/12/2022,auto,23,90,0,42.3,68,0,False,False,25,False
19:42:44_27/12/2022,auto,23,90,0,42.2,68,0,False,False,25,False
19:44:44_27/12/2022,auto,23,90,0,42.0,68,0,False,False,25,False
19:46:44_27/12/2022,auto,23,90,0,42.0,69,0,False,False,25,False
19:48:44_27/12/2022,auto,23,90,0,41.8,69,0,False,False,25,False
19:50:44_27/12/2022,auto,23,90,0,41.7,69,0,False,False,25,False
19:52:44_27/12/2022,auto,23,90,0,41.6,69,0,False,False,25,False
19:54:44_27/12/2022,auto,23,90,0,41.5,69,0,False,False,25,False
19:56:44_27/12/2022,auto,23,90,0,41.4,69,0,False,False,25,False
19:58:44_27/12/2022,auto,23,90,0,41.3,69,0,False,False,25,False
20:0:45_27/12/2022,auto,23,90,0,41.2,69,0,False,False,25,False
20:2:44_27/12/2022,auto,23,90,0,41.0,70,0,False,False,25,False
20:7:13_27/12/2022,auto,23,90,0,40.8,70,0,False,False,25,False
20:9:13_27/12/2022,auto,23,90,0,40.8,70,0,False,False,25,False
20:11:13_27/12/2022,auto,23,90,0,40.6,70,0,False,False,25,False
20:13:13_27/12/2022,auto,23,90,0,40.6,70,0,False,False,25,False
20:15:13_27/12/2022,auto,23,90,0,40.5,70,0,False,False,25,False
20:17:13_27/12/2022,auto,23,90,0,40.4,70,0,False,False,25,False
20:19:13_27/12/2022,auto,23,90,0,40.3,70,0,False,False,25,False
20:21:13_27/12/2022,auto,23,90,0,40.2,70,0,False,False,25,False
20:23:13_27/12/2022,auto,23,90,0,40.1,71,0,False,False,25,False
20:25:13_27/12/2022,auto,23,90,0,40.0,71,0,False,False,25,False
20:27:13_27/12/2022,auto,23,90,0,39.9,71,0,False,False,25,False
20:29:13_27/12/2022,auto,23,90,0,39.9,71,0,False,False,25,False
20:31:13_27/12/2022,auto,23,90,0,39.8,71,0,False,False,25,False
20:33:13_27/12/2022,auto,23,90,0,39.7,71,0,False,False,25,False
20:35:13_27/12/2022,auto,23,90,0,39.6,71,0,False,False,25,False
20:37:13_27/12/2022,auto,23,90,0,39.5,71,0,False,False,25,False
20:39:13_27/12/2022,auto,23,90,0,39.4,71,0,False,False,25,False
20:41:13_27/12/2022,auto,23,90,0,39.4,71,0,False,False,25,False
20:43:13_27/12/2022,auto,23,90,0,39.3,71,0,False,False,25,False
20:45:13_27/12/2022,auto,23,90,0,39.2,71,0,False,False,25,False
20:47:13_27/12/2022,auto,23,90,0,39.1,71,0,False,False,25,False
20:49:13_27/12/2022,auto,23,90,0,39.1,72,0,False,False,25,False
20:51:13_27/12/2022,auto,23,90,0,39.0,72,0,False,False,25,False
20:53:13_27/12/2022,auto,23,90,0,38.9,72,0,False,False,25,False
20:55:13_27/12/2022,auto,23,90,0,38.9,72,0,False,False,25,False
20:57:13_27/12/2022,auto,23,90,0,38.9,72,0,False,False,25,False
20:59:13_27/12/2022,auto,23,90,0,38.8,72,0,False,False,25,False
21:1:13_27/12/2022,auto,23,90,0,38.7,72,0,False,False,25,False
21:3:13_27/12/2022,auto,23,90,0,38.6,72,0,False,False,25,False
21:5:14_27/12/2022,auto,23,90,0,38.5,72,0,False,False,25,False
21:7:13_27/12/2022,auto,23,90,0,38.5,72,0,False,False,25,False
21:9:13_27/12/2022,auto,23,90,0,38.5,72,0,False,False,25,False
21:11:13_27/12/2022,auto,23,90,0,38.4,72,0,False,False,25,False
21:13:13_27/12/2022,auto,23,90,0,38.3,72,0,False,False,25,False
21:15:13_27/12/2022,auto,23,90,0,38.3,72,0,False,False,25,False
21:17:13_27/12/2022,auto,23,90,0,38.3,72,0,False,False,25,False
21:19:13_27/12/2022,auto,23,90,0,38.1,72,0,False,False,25,False
21:21:13_27/12/2022,auto,23,90,0,38.1,72,0,False,False,25,False
21:23:13_27/12/2022,auto,23,90,0,38.1,72,0,False,False,25,False
